id,review_title,review,pros,cons,rating,job_status,position,company,year
5189,Mixed experience,project work covering support and service delivery. managed the process and the product for the customer team,good project structure. clear role and steady service work. clear process and a supportive project team,too much process for a small project,3,Former Employee,Systems Administrator,Company D,2012
5190,Good culture,the work environment is good and the people are great,good people and a strong work environment. lots of opportunity to grow. great benefits and a good place,nothing serious to note. the busy period can stretch,5,Current Employee,Systems Administrator,Company H,2018
5191,Poor management,the company cut people every year and the pay never changed,the pay arrived on time. good benefits while they lasted,low pay and no raise for years. low pay for the hours asked,2,Current Employee,Technical Support Specialist,Company A,2015
5192,Stressful and underpaid,"no job security, they let people go without warning",good benefits while they lasted,layoffs come round every year,1,Former Employee,Data Analyst,Company E,2020
5193,Disappointing,"the supervisor and upper management were the problem. poor management, high stress and no team support",a few good supervisors. one decent team lead,upper management expects too much. poor management with little direction,1,Current Employee,Technical Support Specialist,Company A,2020
5194,Solid employer,the work environment is good and the people are great. great environment and good people to learn from,good people and a strong work environment. lots of opportunity to grow. good benefits and a good environment,large place so things move slowly,4,Current Employee,Business Analyst,Company K,2018
5195,Good company,project work covering support and service delivery,clear process and a supportive project team. good project structure. clear role and steady service work,the process is slow. too much process for a small project,4,Former Employee,Business Analyst,Company B,2018
5196,Solid employer,"the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. the people made the day enjoyable,some days were long,4,Former Employee,Project Manager,Company K,2013
5197,Disappointing,handled calls all day with a short break,good training when you start,short break between calls,2,Former Employee,Customer Service Representative,Company F,2020
5198,Good company,the client work developed my career. the culture and the technology gave me a career path,career development is taken seriously. a supportive organisation,a large organisation moves slowly. career progress can be slow,5,Current Employee,Systems Administrator,Company J,2016
5199,Would recommend,enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team. the people made the day enjoyable,the hardest part was the pace,5,Former Employee,Team Lead,Company C,2015
5200,Avoid,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,the pay arrived on time,job security is poor. no pay raise while costs climbed,1,Former Employee,Team Lead,Company H,2019
5201,Disappointing,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,upper management expects too much,1,Current Employee,Senior Consultant,Company J,2012
5202,Disappointing,handled calls all day with a short break. long hours answering calls for low pay,you learn the systems quickly. good training when you start,long hours on call with a short break. low pay for a long day of calls,2,Former Employee,Systems Administrator,Company I,2019
5203,Avoid,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,good benefits while they lasted. the pay arrived on time. decent pay at the start,job security is poor. job security disappeared after the change,1,Current Employee,Data Analyst,Company I,2020
5204,Good company,good place with real opportunity,great place to work,nothing serious to note. the busy period can stretch,5,Current Employee,Team Lead,Company D,2017
5205,Okay overall,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,a helpful office and a clean center,the call center office felt dated,3,Current Employee,Senior Consultant,Company C,2015
5206,Solid employer,the client work developed my career,a supportive organisation. career development is taken seriously,a large organisation moves slowly. career progress can be slow,4,Former Employee,Customer Service Representative,Company A,2020
5207,Disappointing,handled calls all day with a short break. long hours answering calls for low pay,the health cover was fine,low pay for a long day of calls,2,Former Employee,Customer Service Representative,Company H,2017
5208,Would recommend,worked in the call center office helping people on the phone,good computer equipment. a helpful office and a clean center,the call center office felt dated,4,Current Employee,Customer Service Representative,Company F,2020
5209,Depends on the team,project work covering support and service delivery,clear role and steady service work,too much process for a small project. the process is slow,3,Former Employee,Systems Administrator,Company F,2015
5210,Average employer,the office and the computer setup shaped the day,a helpful office and a clean center,the office equipment is old. the call center office felt dated,3,Current Employee,Customer Service Representative,Company A,2020
5211,Great place to work,good place with real opportunity. great environment and good people to learn from,great benefits and a good place,the busy period can stretch,5,Former Employee,Data Analyst,Company B,2017
5212,Good culture,the culture and the technology gave me a career path,good technology and interesting clients. strong culture and real career opportunities. a supportive organisation,a large organisation moves slowly. career progress can be slow,5,Former Employee,Business Analyst,Company C,2018
5213,Enjoyed my time,great environment and good people to learn from. good place with real opportunity,lots of opportunity to grow. good benefits and a good environment,the busy period can stretch. large place so things move slowly,5,Former Employee,Network Engineer,Company I,2014
5214,Avoid,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted. decent pay at the start,constant layoffs every year. job security disappeared after the change,1,Former Employee,Business Analyst,Company B,2013
5215,Not what was promised,"the supervisor and upper management were the problem. poor management, high stress and no team support",one decent team lead,poor management and no leadership,1,Current Employee,Systems Administrator,Company C,2020
5216,Not what was promised,"the supervisor and upper management were the problem. poor management, high stress and no team support",a few good supervisors. one decent team lead,bad management and high stress. management lacks the skill,1,Current Employee,Network Engineer,Company B,2013
5217,Solid employer,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,comfortable office and a short commute,the office equipment is old. the call center office felt dated,5,Former Employee,Technical Support Specialist,Company I,2017
5218,Good and bad,managed the process and the product for the customer team. provided customer support on the service product,clear process and a supportive project team,the process is slow. too much process for a small project,3,Current Employee,Senior Consultant,Company E,2020
5219,Enjoyed my time,good career opportunities across a strong organisation,good technology and interesting clients. strong culture and real career opportunities,career progress can be slow,5,Current Employee,Customer Service Representative,Company D,2018
5220,Good culture,the client work developed my career,a supportive organisation. career development is taken seriously,career progress can be slow. a large organisation moves slowly,5,Former Employee,Network Engineer,Company K,2017
5221,Good company,good career opportunities across a strong organisation,good technology and interesting clients. career development is taken seriously. a supportive organisation,career progress can be slow. a large organisation moves slowly,4,Current Employee,Systems Administrator,Company E,2012
5222,Stressful and underpaid,management expects a lot and gives little support,one decent team lead. a few good supervisors,no support from management. upper management expects too much,1,Former Employee,Software Engineer,Company H,2013
5223,Good and bad,supported the project team and delivered the service. project work covering support and service delivery,clear process and a supportive project team,the process is slow. too much process for a small project,3,Former Employee,Technical Support Specialist,Company D,2018
5224,Would recommend,the work environment is good and the people are great,good people and a strong work environment. good benefits and a good environment,large place so things move slowly,5,Current Employee,Project Manager,Company E,2020
5225,Great place to work,great environment and good people to learn from,good people and a strong work environment. great place to work,little to complain about,5,Former Employee,Data Analyst,Company H,2019
5226,Poor management,"the company cut people every year and the pay never changed. no job security, they let people go without warning",the pay arrived on time. decent pay at the start. good benefits while they lasted,low pay for the hours asked. job security disappeared after the change,2,Former Employee,Team Lead,Company D,2020
5227,Good company,supported the project team and delivered the service,clear role and steady service work,the process is slow. too much process for a small project,4,Current Employee,Business Analyst,Company H,2019
5228,Poor management,"layoffs and low pay defined my time there. no job security, they let people go without warning",decent pay at the start. good benefits while they lasted. the pay arrived on time,low pay and no raise for years. job security is poor,2,Former Employee,Project Manager,Company C,2015
5229,Would recommend,the client work developed my career. the culture and the technology gave me a career path,career development is taken seriously,a large organisation moves slowly,4,Current Employee,Senior Consultant,Company K,2013
5230,Good culture,good place with real opportunity,great opportunity to learn. great place to work. good benefits and a good environment,large place so things move slowly. the busy period can stretch,5,Former Employee,Senior Consultant,Company A,2020
5231,Good company,"the most enjoyable part was the people, the hardest part was leaving. a typical day was enjoyable and i learned something new",enjoyed the daily work,the hardest part was the pace,4,Current Employee,Data Analyst,Company E,2015
5232,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",enjoyed the daily work. enjoyable typical day,some days were long,4,Current Employee,Software Engineer,Company J,2019
5233,Mixed experience,managed the process and the product for the customer team,good project structure. clear role and steady service work,the process is slow,3,Current Employee,Network Engineer,Company A,2016
5234,Solid employer,great environment and good people to learn from. good place with real opportunity,good work environment. great opportunity to learn. great place to work,little to complain about,4,Former Employee,Senior Consultant,Company A,2020
5235,Good company,the culture and the technology gave me a career path,a supportive organisation. strong culture and real career opportunities. career development is taken seriously,career progress can be slow,4,Current Employee,Business Analyst,Company G,2018
5236,Average employer,supported the project team and delivered the service,good project structure. clear process and a supportive project team,too much process for a small project,3,Current Employee,Customer Service Representative,Company I,2017
5237,Mixed experience,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,good computer equipment. comfortable office and a short commute,the office equipment is old,3,Former Employee,Software Engineer,Company E,2020
5238,Not what was promised,management expects a lot and gives little support. the supervisor and upper management were the problem,a few good supervisors. one decent team lead,poor management with little direction. no support from management,2,Former Employee,Data Analyst,Company D,2020
5239,Okay overall,"no job security, they let people go without warning. layoffs and low pay defined my time there",decent pay at the start,low pay for the hours asked. layoffs come round every year,3,Current Employee,Senior Consultant,Company J,2017
5240,Great place to work,a great company with a good culture. good place with real opportunity,good work environment. great opportunity to learn. good benefits and a good environment,the busy period can stretch,4,Former Employee,Senior Consultant,Company K,2013
5241,Enjoyed my time,a typical day was enjoyable and i learned something new,the people made the day enjoyable,some days were long. the hardest part was the pace,5,Current Employee,Project Manager,Company B,2014
5242,Would recommend,a great company with a good culture,great culture and great people. great benefits and a good place. great opportunity to learn,large place so things move slowly. little to complain about,5,Current Employee,Senior Consultant,Company K,2017
5243,Okay overall,the training was good but the day is call after call. handled calls all day with a short break,good training when you start. the health cover was fine,short break between calls. low pay for a long day of calls,3,Former Employee,Project Manager,Company E,2019
5244,Not what was promised,management expects a lot and gives little support,a few good supervisors. one decent team lead,no support from management,1,Current Employee,Network Engineer,Company C,2012
5245,Good company,the culture and the technology gave me a career path,strong culture and real career opportunities. good technology and interesting clients. career development is taken seriously,a large organisation moves slowly. career progress can be slow,4,Former Employee,Technical Support Specialist,Company K,2013
5246,Enjoyed my time,enjoyed the work and learned every day,learned a lot from the team. enjoyed the daily work,the hardest part was the pace,5,Current Employee,Project Manager,Company E,2018
5247,Enjoyed my time,the work environment is good and the people are great,lots of opportunity to grow. great benefits and a good place. great culture and great people,nothing serious to note,5,Current Employee,Team Lead,Company A,2016
5248,Disappointing,the training was good but the day is call after call,the health cover was fine,long hours on call with a short break,2,Former Employee,Team Lead,Company G,2018
5249,Enjoyed my time,the client work developed my career,a supportive organisation,career progress can be slow. a large organisation moves slowly,5,Former Employee,Senior Consultant,Company H,2012
5250,Average employer,"no job security, they let people go without warning",decent pay at the start. good benefits while they lasted. the pay arrived on time,job security is poor,3,Current Employee,Customer Service Representative,Company J,2020
5251,Good company,the culture and the technology gave me a career path,good technology and interesting clients. a supportive organisation,career progress can be slow. a large organisation moves slowly,4,Current Employee,Software Engineer,Company A,2012
5252,Enjoyed my time,great environment and good people to learn from. the work environment is good and the people are great,great culture and great people. good work environment. good people and a strong work environment,little to complain about,5,Former Employee,Business Analyst,Company A,2014
5253,Avoid,"poor management, high stress and no team support",one decent team lead,upper management expects too much,2,Former Employee,Team Lead,Company G,2018
5254,Not what was promised,"management expects a lot and gives little support. poor management, high stress and no team support",a few good supervisors,no support from management,1,Current Employee,Data Analyst,Company J,2016
5255,Not what was promised,long hours answering calls for low pay. handled calls all day with a short break,the health cover was fine. you learn the systems quickly,low pay for a long day of calls,2,Current Employee,Software Engineer,Company J,2020
5256,Enjoyed my time,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. the people made the day enjoyable,the hardest part was the pace,5,Former Employee,Network Engineer,Company J,2015
5257,Great place to work,the client work developed my career. the culture and the technology gave me a career path,career development is taken seriously,a large organisation moves slowly,5,Former Employee,Data Analyst,Company E,2014
5258,Great place to work,the culture and the technology gave me a career path,good technology and interesting clients,a large organisation moves slowly. career progress can be slow,4,Former Employee,Data Analyst,Company K,2015
5259,Would recommend,enjoyed the work and learned every day,the people made the day enjoyable,the hardest part was the pace,5,Former Employee,Software Engineer,Company K,2015
5260,Avoid,layoffs and low pay defined my time there,good benefits while they lasted. the pay arrived on time. decent pay at the start,job security disappeared after the change. job security is poor,2,Former Employee,Systems Administrator,Company D,2016
5261,Avoid,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,poor management and no leadership,2,Former Employee,Data Analyst,Company K,2019
5262,Great place to work,good career opportunities across a strong organisation,a supportive organisation,career progress can be slow. a large organisation moves slowly,5,Current Employee,Technical Support Specialist,Company C,2017
5263,Good culture,the culture and the technology gave me a career path,a supportive organisation. strong culture and real career opportunities,career progress can be slow,4,Current Employee,Technical Support Specialist,Company F,2016
5264,Average employer,the company cut people every year and the pay never changed,the pay arrived on time. good benefits while they lasted,constant layoffs every year. no pay raise while costs climbed,3,Former Employee,Project Manager,Company K,2019
5265,Great place to work,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable,the hardest part was the pace,4,Current Employee,Network Engineer,Company H,2017
5266,Not what was promised,long hours answering calls for low pay. the training was good but the day is call after call,you learn the systems quickly. good training when you start. the health cover was fine,short break between calls. long hours on call with a short break,2,Current Employee,Senior Consultant,Company I,2014
5267,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",the people made the day enjoyable,some days were long,4,Former Employee,Software Engineer,Company K,2020
5268,Avoid,management expects a lot and gives little support. the supervisor and upper management were the problem,one decent team lead. a few good supervisors,bad management and high stress. poor management and no leadership,2,Former Employee,Technical Support Specialist,Company B,2019
5269,Enjoyed my time,good career opportunities across a strong organisation,strong culture and real career opportunities. career development is taken seriously. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Former Employee,Software Engineer,Company F,2017
5270,Not what was promised,handled calls all day with a short break. the training was good but the day is call after call,you learn the systems quickly. good training when you start,short break between calls,2,Current Employee,Senior Consultant,Company C,2013
5271,Solid employer,good career opportunities across a strong organisation,strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,4,Current Employee,Systems Administrator,Company G,2020
5272,Enjoyed my time,a great company with a good culture,lots of opportunity to grow. great place to work. great opportunity to learn,large place so things move slowly. the busy period can stretch,5,Former Employee,Project Manager,Company K,2019
5273,Avoid,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted. the pay arrived on time. decent pay at the start,job security disappeared after the change,2,Current Employee,Data Analyst,Company E,2014
5274,Would recommend,the work environment is good and the people are great,great culture and great people. good benefits and a good environment. great benefits and a good place,the busy period can stretch,5,Current Employee,Systems Administrator,Company H,2016
5275,Good culture,the culture and the technology gave me a career path. good career opportunities across a strong organisation,good technology and interesting clients. career development is taken seriously. strong culture and real career opportunities,career progress can be slow,5,Former Employee,Business Analyst,Company F,2019
5276,Solid employer,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",learned a lot from the team. the people made the day enjoyable,the hardest part was the pace,5,Former Employee,Business Analyst,Company E,2020
5277,Good company,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,enjoyable typical day,some days were long. the hardest part was the pace,4,Current Employee,Data Analyst,Company F,2020
5278,Good culture,great environment and good people to learn from,lots of opportunity to grow. good people and a strong work environment,little to complain about,5,Current Employee,Business Analyst,Company K,2019
5279,Would recommend,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,enjoyed the daily work. the people made the day enjoyable. enjoyable typical day,the hardest part was the pace. some days were long,5,Former Employee,Systems Administrator,Company F,2013
5280,Solid employer,"enjoyed the work and learned every day. the most enjoyable part was the people, the hardest part was leaving",enjoyed the daily work. learned a lot from the team,the hardest part was the pace. some days were long,4,Current Employee,Systems Administrator,Company A,2017
5281,Disappointing,long hours answering calls for low pay. handled calls all day with a short break,the health cover was fine. good training when you start. you learn the systems quickly,low pay for a long day of calls,2,Current Employee,Software Engineer,Company E,2016
5282,Depends on the team,"the company cut people every year and the pay never changed. no job security, they let people go without warning",decent pay at the start,constant layoffs every year,3,Former Employee,Systems Administrator,Company A,2019
5283,Enjoyed my time,good career opportunities across a strong organisation,strong culture and real career opportunities. good technology and interesting clients,career progress can be slow. a large organisation moves slowly,4,Current Employee,Technical Support Specialist,Company F,2013
5284,Would recommend,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. enjoyable typical day,the hardest part was the pace,5,Former Employee,Network Engineer,Company J,2014
5285,Mixed experience,handled calls all day with a short break,the health cover was fine,long hours on call with a short break,3,Former Employee,Team Lead,Company F,2017
5286,Enjoyed my time,the client work developed my career,strong culture and real career opportunities. good technology and interesting clients,career progress can be slow,4,Former Employee,Data Analyst,Company F,2019
5287,Solid employer,good place with real opportunity. great environment and good people to learn from,good people and a strong work environment,little to complain about. large place so things move slowly,4,Current Employee,Business Analyst,Company K,2018
5288,Enjoyed my time,the work environment is good and the people are great,great opportunity to learn. great culture and great people. good benefits and a good environment,little to complain about. the busy period can stretch,5,Current Employee,Business Analyst,Company E,2019
5289,Stressful and underpaid,long hours answering calls for low pay. handled calls all day with a short break,good training when you start. you learn the systems quickly,long hour shifts with a short lunch. low pay for a long day of calls,2,Former Employee,Business Analyst,Company K,2018
5290,Disappointing,"no job security, they let people go without warning. the company cut people every year and the pay never changed",good benefits while they lasted,low pay and no raise for years. layoffs come round every year,2,Former Employee,Data Analyst,Company F,2012
5291,Okay overall,layoffs and low pay defined my time there,decent pay at the start,low pay for the hours asked,3,Current Employee,Customer Service Representative,Company J,2019
5292,Poor management,"poor management, high stress and no team support. the supervisor and upper management were the problem",one decent team lead. a few good supervisors,bad management and high stress. poor management with little direction,2,Former Employee,Data Analyst,Company D,2016
5293,Enjoyed my time,project work covering support and service delivery,good project structure. clear process and a supportive project team. clear role and steady service work,too much process for a small project,4,Former Employee,Software Engineer,Company E,2020
5294,Would recommend,good place with real opportunity,lots of opportunity to grow. good work environment,large place so things move slowly. little to complain about,5,Former Employee,Senior Consultant,Company C,2020
5295,Average employer,handled calls all day with a short break,good training when you start. you learn the systems quickly,low pay for a long day of calls. short break between calls,3,Former Employee,Software Engineer,Company K,2013
5296,Would recommend,great environment and good people to learn from,great culture and great people. good people and a strong work environment. good benefits and a good environment,large place so things move slowly. little to complain about,5,Former Employee,Project Manager,Company D,2017
5297,Great place to work,the culture and the technology gave me a career path,strong culture and real career opportunities. career development is taken seriously,a large organisation moves slowly,4,Former Employee,Network Engineer,Company K,2015
5298,Good and bad,project work covering support and service delivery,good project structure. clear role and steady service work,too much process for a small project,3,Current Employee,Project Manager,Company I,2019
5299,Avoid,the supervisor and upper management were the problem. management expects a lot and gives little support,a few good supervisors. one decent team lead,bad management and high stress. upper management expects too much,1,Former Employee,Senior Consultant,Company A,2014
5300,Good culture,great environment and good people to learn from. good place with real opportunity,great place to work. good work environment,little to complain about,4,Current Employee,Network Engineer,Company G,2014
5301,Disappointing,"management expects a lot and gives little support. poor management, high stress and no team support",a few good supervisors. one decent team lead,management lacks the skill,2,Former Employee,Data Analyst,Company H,2020
5302,Solid employer,the work environment is good and the people are great,good benefits and a good environment. great opportunity to learn. lots of opportunity to grow,nothing serious to note,5,Former Employee,Technical Support Specialist,Company K,2019
5303,Great place to work,supported the project team and delivered the service,good project structure. clear process and a supportive project team,too much process for a small project,4,Current Employee,Network Engineer,Company D,2017
5304,Good company,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. enjoyable typical day,some days were long,5,Former Employee,Project Manager,Company H,2012
5305,Disappointing,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time,no pay raise while costs climbed,1,Former Employee,Systems Administrator,Company K,2014
5306,Stressful and underpaid,the supervisor and upper management were the problem. management expects a lot and gives little support,a few good supervisors. one decent team lead,no support from management. management lacks the skill,1,Former Employee,Software Engineer,Company A,2019
5307,Would recommend,a great company with a good culture. great environment and good people to learn from,good benefits and a good environment,large place so things move slowly,5,Former Employee,Project Manager,Company J,2017
5308,Not what was promised,handled calls all day with a short break. the training was good but the day is call after call,you learn the systems quickly. the health cover was fine. good training when you start,low pay for a long day of calls. long hour shifts with a short lunch,2,Current Employee,Project Manager,Company B,2019
5309,Poor management,the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start. the pay arrived on time,layoffs come round every year,2,Former Employee,Systems Administrator,Company E,2020
5310,Not what was promised,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start. the pay arrived on time,job security is poor,2,Former Employee,Software Engineer,Company D,2018
5311,Good company,a typical day was enjoyable and i learned something new,the people made the day enjoyable,some days were long. the hardest part was the pace,5,Current Employee,Network Engineer,Company A,2019
5312,Would recommend,great environment and good people to learn from. a great company with a good culture,good benefits and a good environment,large place so things move slowly,5,Former Employee,Technical Support Specialist,Company I,2019
5313,Good company,"the most enjoyable part was the people, the hardest part was leaving",enjoyable typical day,the hardest part was the pace,4,Current Employee,Project Manager,Company K,2015
5314,Stressful and underpaid,"poor management, high stress and no team support. the supervisor and upper management were the problem",one decent team lead. a few good supervisors,poor management and no leadership,1,Current Employee,Technical Support Specialist,Company A,2018
5315,Avoid,the supervisor and upper management were the problem. management expects a lot and gives little support,one decent team lead,no support from management. management lacks the skill,2,Current Employee,Team Lead,Company J,2012
5316,Solid employer,the work environment is good and the people are great. great environment and good people to learn from,lots of opportunity to grow,nothing serious to note. little to complain about,4,Current Employee,Data Analyst,Company J,2020
5317,Would recommend,supported the project team and delivered the service. provided customer support on the service product,clear role and steady service work. clear process and a supportive project team. good project structure,the process is slow,4,Former Employee,Systems Administrator,Company H,2015
5318,Good company,the client work developed my career,career development is taken seriously,career progress can be slow. a large organisation moves slowly,5,Current Employee,Team Lead,Company I,2012
5319,Good company,good place with real opportunity. great environment and good people to learn from,lots of opportunity to grow. good benefits and a good environment,the busy period can stretch,4,Former Employee,Systems Administrator,Company H,2018
5320,Would recommend,a great company with a good culture. good place with real opportunity,great opportunity to learn,nothing serious to note,5,Current Employee,Business Analyst,Company D,2017
5321,Good culture,supported the project team and delivered the service,good project structure. clear process and a supportive project team,too much process for a small project. the process is slow,4,Current Employee,Business Analyst,Company A,2016
5322,Solid employer,a great company with a good culture. good place with real opportunity,great opportunity to learn. good work environment,large place so things move slowly. the busy period can stretch,5,Former Employee,Customer Service Representative,Company C,2014
5323,Not what was promised,"the company cut people every year and the pay never changed. no job security, they let people go without warning",decent pay at the start,low pay for the hours asked,2,Former Employee,Technical Support Specialist,Company G,2017
5324,Avoid,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,bad management and high stress,1,Former Employee,Technical Support Specialist,Company J,2019
5325,Would recommend,good place with real opportunity,great opportunity to learn. lots of opportunity to grow,the busy period can stretch. nothing serious to note,4,Current Employee,Project Manager,Company I,2018
5326,Solid employer,great environment and good people to learn from,good work environment,the busy period can stretch,5,Former Employee,Customer Service Representative,Company H,2020
5327,Good culture,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,the people made the day enjoyable. enjoyed the daily work. enjoyable typical day,some days were long. the hardest part was the pace,4,Former Employee,Customer Service Representative,Company H,2015
5328,Great place to work,the client work developed my career,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,a large organisation moves slowly,4,Former Employee,Senior Consultant,Company K,2018
5329,Enjoyed my time,the client work developed my career,strong culture and real career opportunities. a supportive organisation. good technology and interesting clients,career progress can be slow. a large organisation moves slowly,5,Current Employee,Senior Consultant,Company K,2017
5330,Disappointing,the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time. good benefits while they lasted,job security is poor. low pay for the hours asked,2,Former Employee,Customer Service Representative,Company C,2013
5331,Good culture,enjoyed the work and learned every day,learned a lot from the team,the hardest part was the pace. some days were long,4,Former Employee,Project Manager,Company D,2017
5332,Solid employer,the culture and the technology gave me a career path,good technology and interesting clients,career progress can be slow,5,Former Employee,Network Engineer,Company H,2014
5333,Enjoyed my time,the office and the computer setup shaped the day,comfortable office and a short commute. good computer equipment,the office equipment is old,4,Current Employee,Project Manager,Company A,2020
5334,Mixed experience,provided customer support on the service product,clear process and a supportive project team,too much process for a small project,3,Former Employee,Systems Administrator,Company J,2015
5335,Great place to work,good place with real opportunity,great benefits and a good place. great culture and great people. good benefits and a good environment,little to complain about. the busy period can stretch,5,Former Employee,Team Lead,Company I,2019
5336,Disappointing,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,management lacks the skill. poor management and no leadership,1,Former Employee,Technical Support Specialist,Company I,2020
5337,Okay overall,managed the process and the product for the customer team. provided customer support on the service product,clear process and a supportive project team. clear role and steady service work,too much process for a small project. the process is slow,3,Current Employee,Senior Consultant,Company K,2015
5338,Would recommend,a great company with a good culture,lots of opportunity to grow. good work environment,large place so things move slowly,4,Former Employee,Team Lead,Company H,2018
5339,Good culture,enjoyed the work and learned every day,enjoyed the daily work. the people made the day enjoyable,the hardest part was the pace. some days were long,4,Former Employee,Senior Consultant,Company J,2013
5340,Enjoyed my time,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,a helpful office and a clean center,the office equipment is old. the call center office felt dated,5,Current Employee,Network Engineer,Company F,2019
5341,Good and bad,layoffs and low pay defined my time there,the pay arrived on time. decent pay at the start. good benefits while they lasted,constant layoffs every year. no pay raise while costs climbed,3,Current Employee,Technical Support Specialist,Company F,2020
5342,Good company,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team. the people made the day enjoyable,some days were long. the hardest part was the pace,5,Former Employee,Systems Administrator,Company A,2018
5343,Great place to work,enjoyed the work and learned every day,learned a lot from the team,some days were long,5,Former Employee,Project Manager,Company A,2012
5344,Not what was promised,handled calls all day with a short break,the health cover was fine. you learn the systems quickly. good training when you start,long hours on call with a short break. low pay for a long day of calls,2,Former Employee,Customer Service Representative,Company K,2012
5345,Good company,the work environment is good and the people are great,good benefits and a good environment. good people and a strong work environment,nothing serious to note,5,Current Employee,Project Manager,Company B,2019
5346,Good culture,the client work developed my career,a supportive organisation. strong culture and real career opportunities. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Former Employee,Project Manager,Company K,2014
5347,Enjoyed my time,good place with real opportunity. the work environment is good and the people are great,good benefits and a good environment. great opportunity to learn. good work environment,little to complain about,5,Current Employee,Network Engineer,Company F,2019
5348,Enjoyed my time,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. enjoyed the daily work. enjoyable typical day,the hardest part was the pace. some days were long,5,Current Employee,Systems Administrator,Company K,2020
5349,Would recommend,great environment and good people to learn from. a great company with a good culture,great place to work. great opportunity to learn,the busy period can stretch,4,Current Employee,Customer Service Representative,Company C,2017
5350,Solid employer,"enjoyed the work and learned every day. the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team,some days were long,5,Current Employee,Project Manager,Company B,2018
5351,Solid employer,enjoyed the work and learned every day,enjoyed the daily work. learned a lot from the team,the hardest part was the pace,5,Current Employee,Customer Service Representative,Company F,2013
5352,Not what was promised,"layoffs and low pay defined my time there. no job security, they let people go without warning",decent pay at the start. the pay arrived on time. good benefits while they lasted,low pay for the hours asked. job security is poor,2,Former Employee,Team Lead,Company I,2020
5353,Not what was promised,management expects a lot and gives little support. the supervisor and upper management were the problem,a few good supervisors,no support from management,2,Current Employee,Software Engineer,Company G,2015
5354,Average employer,"no job security, they let people go without warning",good benefits while they lasted. decent pay at the start. the pay arrived on time,constant layoffs every year,3,Current Employee,Software Engineer,Company K,2014
5355,Would recommend,a typical day was enjoyable and i learned something new,enjoyable typical day,the hardest part was the pace,4,Former Employee,Technical Support Specialist,Company A,2018
5356,Avoid,layoffs and low pay defined my time there,good benefits while they lasted. decent pay at the start. the pay arrived on time,constant layoffs every year. layoffs come round every year,1,Former Employee,Technical Support Specialist,Company E,2017
5357,Not what was promised,"poor management, high stress and no team support. management expects a lot and gives little support",one decent team lead,upper management expects too much,1,Former Employee,Systems Administrator,Company J,2014
5358,Good and bad,layoffs and low pay defined my time there,the pay arrived on time. decent pay at the start. good benefits while they lasted,layoffs come round every year. constant layoffs every year,3,Former Employee,Business Analyst,Company C,2012
5359,Great place to work,a great company with a good culture. great environment and good people to learn from,good benefits and a good environment. great culture and great people. good people and a strong work environment,large place so things move slowly,5,Current Employee,Business Analyst,Company G,2018
5360,Okay overall,layoffs and low pay defined my time there,good benefits while they lasted,job security disappeared after the change. low pay and no raise for years,3,Current Employee,Network Engineer,Company A,2018
5361,Average employer,the training was good but the day is call after call,the health cover was fine,short break between calls. long hours on call with a short break,3,Current Employee,Project Manager,Company G,2020
